"Date","Price","Open","High","Low","Vol.","Change %"
"2010-03-26","1,166.60","1,167.60","1,173.90","1,161.50","","0.08%"
"2010-03-25","1,165.70","1,170.00","1,180.70","1,165.10","","-0.17%"
"2010-03-24","1,167.70","1,172.70","1,173.00","1,166.00","","-0.55%"
"2010-03-23","1,174.20","1,166.50","1,174.70","1,163.80","","0.72%"
"2010-03-22","1,165.80","1,157.20","1,167.80","1,152.90","","0.51%"
"2010-03-19","1,159.90","1,166.70","1,169.20","1,155.30","","-0.51%"
"2010-03-18","1,165.80","1,166.10","1,167.80","1,161.20","","-0.03%"
"2010-03-17","1,166.20","1,159.90","1,169.80","1,159.90","","0.58%"
"2010-03-16","1,159.50","1,150.80","1,160.30","1,150.30","","0.78%"
"2010-03-15","1,150.50","1,148.50","1,151.00","1,141.50","","0.04%"
"2010-03-12","1,150.00","1,151.70","1,153.40","1,147.00","","-0.02%"
"2010-03-11","1,150.20","1,144.00","1,150.20","1,139.00","","0.40%"
"2010-03-10","1,145.60","1,140.20","1,148.30","1,140.10","","0.45%"
"2010-03-09","1,140.50","1,137.60","1,145.40","1,134.90","","0.18%"
"2010-03-08","1,138.50","1,138.40","1,141.00","1,136.80","","-0.02%"
"2010-03-05","1,138.70","1,125.10","1,139.40","1,125.10","","1.40%"
"2010-03-04","1,123.00","1,119.10","1,123.70","1,116.70","","0.38%"
"2010-03-03","1,118.80","1,119.40","1,125.60","1,116.60","","0.04%"
"2010-03-02","1,118.30","1,117.00","1,123.50","1,116.50","","0.23%"
"2010-03-01","1,115.70","1,105.40","1,116.10","1,105.40","","1.01%"
"2010-02-26","1,104.50","1,103.10","1,107.20","1,097.60","","0.15%"
"2010-02-25","1,102.90","1,101.20","1,103.50","1,086.00","","-0.21%"
"2010-02-24","1,105.20","1,095.90","1,106.40","1,095.50","","0.97%"
"2010-02-23","1,094.60","1,107.50","1,108.60","1,092.20","","-1.21%"
"2010-02-22","1,108.00","1,110.00","1,112.30","1,105.40","","-0.11%"
"2010-02-19","1,109.20","1,105.50","1,112.40","1,100.80","","0.22%"
"2010-02-18","1,106.80","1,099.00","1,108.20","1,097.50","","0.66%"
"2010-02-17","1,099.50","1,096.10","1,101.00","1,094.70","","0.42%"
"2010-02-16","1,094.90","1,079.10","1,095.70","1,079.10","","1.80%"
"2010-02-12","1,075.50","1,076.00","1,077.80","1,063.00","","-0.28%"
"2010-02-11","1,078.50","1,067.10","1,080.00","1,060.60","","0.97%"
"2010-02-10","1,068.10","1,069.70","1,073.70","1,059.30","","-0.22%"
"2010-02-09","1,070.50","1,060.10","1,079.30","1,060.10","","1.31%"
"2010-02-08","1,056.70","1,065.50","1,071.20","1,056.50","","-0.89%"
"2010-02-05","1,066.20","1,064.10","1,067.10","1,044.50","","0.29%"
"2010-02-04","1,063.10","1,097.20","1,097.20","1,062.80","","-3.12%"
"2010-02-03","1,097.30","1,100.70","1,102.70","1,094.00","","-0.54%"
"2010-02-02","1,103.30","1,090.00","1,104.70","1,088.00","","1.29%"
"2010-02-01","1,089.20","1,073.90","1,089.40","1,073.90","","1.42%"
"2010-01-29","1,073.90","1,087.60","1,096.50","1,071.60","","-0.98%"
"2010-01-28","1,084.50","1,096.90","1,100.20","1,078.50","","-1.18%"
"2010-01-27","1,097.50","1,091.90","1,099.50","1,083.10","","0.49%"
"2010-01-26","1,092.20","1,095.80","1,103.70","1,089.90","","-0.42%"
"2010-01-25","1,096.80","1,092.40","1,103.00","1,092.40","","0.46%"
"2010-01-22","1,091.80","1,115.50","1,115.50","1,090.20","","-2.21%"
"2010-01-21","1,116.50","1,138.70","1,141.60","1,114.80","","-1.89%"
"2010-01-20","1,138.00","1,148.00","1,148.00","1,129.20","","-1.06%"
"2010-01-19","1,150.20","1,136.00","1,150.50","1,135.80","","1.25%"
"2010-01-15","1,136.00","1,147.70","1,147.80","1,131.40","","-1.09%"
"2010-01-14","1,148.50","1,145.70","1,150.40","1,143.80","","0.24%"
"2010-01-13","1,145.70","1,137.30","1,148.40","1,133.20","","0.84%"
"2010-01-12","1,136.20","1,143.80","1,143.80","1,131.80","","-0.94%"
"2010-01-11","1,147.00","1,146.00","1,149.70","1,142.00","","0.17%"
"2010-01-08","1,145.00","1,140.50","1,145.40","1,136.20","","0.29%"
"2010-01-07","1,141.70","1,136.30","1,142.50","1,131.30","","0.40%"
"2010-01-06","1,137.10","1,135.70","1,139.20","1,134.00","","0.05%"
"2010-01-05","1,136.50","1,132.70","1,136.60","1,129.70","","0.31%"
"2010-01-04","1,133.00","1,116.60","1,133.90","1,116.60","","1.61%"
"2009-12-31","1,115.10","1,126.60","1,127.60","1,114.80","","-1.00%"
"2009-12-30","1,126.40","1,125.50","1,126.40","1,121.90","","0.02%"
"2009-12-29","1,126.20","1,128.50","1,130.40","1,126.10","","-0.14%"
"2009-12-28","1,127.80","1,127.50","1,130.40","1,123.50","","0.12%"
"2009-12-24","1,126.50","1,121.10","1,126.50","1,121.10","","0.53%"
"2009-12-23","1,120.60","1,118.80","1,121.60","1,116.00","","0.23%"
"2009-12-22","1,118.00","1,114.50","1,120.30","1,114.50","","0.36%"
"2009-12-21","1,114.00","1,105.30","1,117.70","1,105.30","","1.04%"
"2009-12-18","1,102.50","1,097.90","1,103.70","1,093.90","","0.58%"
"2009-12-17","1,096.10","1,106.40","1,106.40","1,095.90","","-1.18%"
"2009-12-16","1,109.20","1,108.60","1,116.20","1,108.00","","0.12%"
"2009-12-15","1,107.90","1,114.10","1,114.10","1,105.30","","-0.56%"
"2009-12-14","1,114.10","1,107.80","1,114.80","1,107.80","","0.70%"
"2009-12-11","1,106.40","1,104.00","1,108.50","1,101.30","","0.37%"
"2009-12-10","1,102.30","1,098.70","1,106.20","1,098.70","","0.57%"
"2009-12-09","1,096.00","1,091.10","1,097.00","1,085.90","","0.38%"
"2009-12-08","1,091.90","1,103.00","1,103.00","1,088.60","","-1.02%"
"2009-12-07","1,103.20","1,105.50","1,110.70","1,100.80","","-0.25%"
"2009-12-04","1,106.00","1,100.40","1,119.10","1,096.50","","0.55%"
"2009-12-03","1,099.90","1,110.60","1,117.30","1,098.70","","-0.84%"
"2009-12-02","1,109.20","1,109.00","1,115.60","1,105.30","","0.03%"
"2009-12-01","1,108.90","1,098.90","1,112.30","1,098.90","","1.21%"
