"Date","Price","Open","High","Low","Vol.","Change %"
"2014-04-23","1,875.40","1,879.30","1,879.80","1,873.90","","-0.22%"
"2014-04-22","1,879.50","1,872.60","1,884.90","1,872.60","","0.41%"
"2014-04-21","1,871.90","1,865.80","1,871.90","1,863.20","","0.38%"
"2014-04-17","1,864.80","1,861.70","1,869.60","1,856.70","","0.13%"
"2014-04-16","1,862.30","1,846.00","1,862.30","1,846.00","","1.05%"
"2014-04-15","1,843.00","1,831.50","1,844.00","1,816.30","","0.68%"
"2014-04-14","1,830.60","1,818.20","1,834.20","1,815.80","","0.82%"
"2014-04-11","1,815.70","1,830.70","1,835.10","1,814.40","","-0.95%"
"2014-04-10","1,833.10","1,872.30","1,872.50","1,830.90","","-2.09%"
"2014-04-09","1,872.20","1,852.60","1,872.40","1,852.40","","1.09%"
"2014-04-08","1,852.00","1,845.50","1,855.00","1,837.50","","0.38%"
"2014-04-07","1,845.00","1,863.90","1,864.00","1,841.50","","-1.08%"
"2014-04-04","1,865.10","1,890.20","1,897.30","1,863.30","","-1.25%"
"2014-04-03","1,888.80","1,891.40","1,893.80","1,882.70","","-0.11%"
"2014-04-02","1,890.90","1,886.60","1,893.20","1,883.80","","0.29%"
"2014-04-01","1,885.50","1,874.00","1,885.80","1,874.00","","0.71%"
"2014-03-31","1,872.30","1,859.20","1,875.20","1,859.20","","0.79%"
"2014-03-28","1,857.60","1,850.10","1,866.60","1,850.10","","0.47%"
"2014-03-27","1,849.00","1,852.10","1,855.50","1,842.10","","-0.19%"
"2014-03-26","1,852.60","1,867.10","1,875.90","1,852.60","","-0.70%"
"2014-03-25","1,865.60","1,859.50","1,871.90","1,856.00","","0.44%"
"2014-03-24","1,857.40","1,867.70","1,873.30","1,849.70","","-0.49%"
"2014-03-21","1,866.50","1,874.50","1,884.00","1,863.50","","-0.29%"
"2014-03-20","1,872.00","1,860.10","1,873.50","1,854.60","","0.60%"
"2014-03-19","1,860.80","1,872.20","1,874.10","1,850.30","","-0.61%"
"2014-03-18","1,872.20","1,858.90","1,873.80","1,858.90","","0.72%"
"2014-03-17","1,858.80","1,842.80","1,862.30","1,842.80","","0.96%"
"2014-03-14","1,841.10","1,845.10","1,852.40","1,839.60","","-0.28%"
"2014-03-13","1,846.30","1,869.10","1,874.40","1,841.90","","-1.17%"
"2014-03-12","1,868.20","1,866.20","1,868.40","1,854.40","","0.03%"
"2014-03-11","1,867.60","1,878.30","1,882.30","1,863.90","","-0.51%"
"2014-03-10","1,877.20","1,877.90","1,877.90","1,867.00","","-0.04%"
"2014-03-07","1,878.00","1,878.50","1,883.60","1,870.60","","0.05%"
"2014-03-06","1,877.00","1,874.20","1,881.90","1,874.20","","0.17%"
"2014-03-05","1,873.80","1,874.00","1,876.50","1,871.10","","-0.01%"
"2014-03-04","1,873.90","1,849.20","1,876.20","1,849.20","","1.53%"
"2014-03-03","1,845.70","1,857.70","1,857.70","1,834.40","","-0.74%"
"2014-02-28","1,859.50","1,855.10","1,867.90","1,847.70","","0.28%"
"2014-02-27","1,854.30","1,844.90","1,854.50","1,841.10","","0.49%"
"2014-02-26","1,845.20","1,845.80","1,852.70","1,840.70","","0.01%"
"2014-02-25","1,845.10","1,847.70","1,852.90","1,840.20","","-0.14%"
"2014-02-24","1,847.60","1,836.80","1,858.70","1,836.80","","0.62%"
"2014-02-21","1,836.20","1,841.10","1,846.10","1,835.60","","-0.20%"
"2014-02-20","1,839.80","1,829.20","1,842.80","1,824.60","","0.60%"
"2014-02-19","1,828.80","1,838.90","1,847.50","1,827.00","","-0.65%"
"2014-02-18","1,840.80","1,839.00","1,842.90","1,835.00","","0.12%"
"2014-02-14","1,838.60","1,828.50","1,841.70","1,825.60","","0.48%"
"2014-02-13","1,829.80","1,814.80","1,830.20","1,809.20","","0.58%"
"2014-02-12","1,819.30","1,820.10","1,826.50","1,816.00","","-0.03%"
"2014-02-11","1,819.80","1,800.50","1,823.50","1,800.40","","1.11%"
"2014-02-10","1,799.80","1,796.20","1,799.90","1,791.80","","0.16%"
"2014-02-07","1,797.00","1,776.00","1,798.00","1,776.00","","1.33%"
"2014-02-06","1,773.40","1,753.00","1,774.10","1,753.00","","1.24%"
"2014-02-05","1,751.60","1,753.40","1,755.80","1,737.90","","-0.21%"
"2014-02-04","1,755.20","1,743.80","1,758.70","1,743.80","","0.76%"
"2014-02-03","1,741.90","1,782.70","1,784.80","1,739.70","","-2.28%"
"2014-01-31","1,782.60","1,790.90","1,793.90","1,772.30","","-0.65%"
"2014-01-30","1,794.20","1,777.20","1,798.80","1,777.20","","1.13%"
"2014-01-29","1,774.20","1,790.20","1,790.20","1,770.50","","-1.02%"
"2014-01-28","1,792.50","1,783.00","1,793.90","1,779.50","","0.61%"
