ticker_yf,Symbol,Company Name,exchange,market,Currency,last_close,max_drawdown,EMA_20,EMA_52,EMA_200,MACD,MACD_signal,RSI_14,dividend_ttm,payments_ttm,div_freq,last_div_date,div_yield_ttm,next_earnings_date,eps_estimate,reported_eps,surprise_pct
BGT,BGT,BlackRock Floating Rate Income Trust,NYSE,NYSE,USD,11.329999923706055,-0.1445312776486385,11.42626248302011,11.467183489061663,11.8752653508105,-0.020904792305767472,-0.007144764892071386,34.999964237093764,1.44,12.0,Monthly,2026-02-13,0.127096205621948,,,,
FMC,FMC,FMC Corporation Common Stock,NYSE,NYSE,USD,14.34000015258789,-0.7259842498061113,15.311118285335919,16.031980466914217,25.355322662713586,-0.008778014524180477,0.16152186818454448,40.303361501346195,1.8199999999999998,4.0,Quarterly,2025-12-31,0.12691771134127572,,2.33,2.37,1.82
MSDL,MSDL,Morgan Stanley Direct Lending Fund Common Stock,NYSE,NYSE,USD,15.789999961853027,-0.28979981202887894,15.938603196162774,16.363225802091282,17.595618763492563,-0.23713639242322415,-0.27967227286298646,42.99066558960026,2.0,4.0,Quarterly,2025-12-31,0.12666244489118358,,0.66,0.67,1.21
PCM,PCM,"PCM Fund, Inc. Common Stock",NYSE,NYSE,USD,6.070000171661377,-0.11555558663827403,6.069937889310968,6.112504454008347,6.2811153959812325,0.0017344326789103803,-0.010427457100326654,63.33337042058533,0.768,12.0,Monthly,2026-02-12,0.12652388439550838,,,,
TEI,TEI,"Templeton Emerging Markets Income Fund, Inc. Common Stock",NYSE,NYSE,USD,6.989999771118164,-0.11849197556710445,6.809624874632908,6.644089686880265,6.240329234720779,0.11301011000587469,0.09455584537290407,88.0,0.881,12.0,Monthly,2026-01-23,0.12603720012126263,,,,
BXSL,BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,24.6200008392334,-0.29014493417048803,25.483289381426232,26.17348380092024,28.25550373402514,-0.42912137827325125,-0.4204508306587079,35.87173896756971,3.08,4.0,Quarterly,2025-12-31,0.12510153919620676,,0.6,0.62,3.33
WDI,WDI,Western Asset Diversified Income Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,14.319999694824219,-0.15792921436860952,13.985656900757204,14.014826430233468,14.41561176986191,0.08481563012799143,0.032022278962700795,94.02985711967615,1.7879999999999998,12.0,Monthly,2025-12-31,0.1248603378564491,,,,
ALIT,ALIT,"Alight, Inc. Class A Common Stock",NYSE,NYSE,USD,1.2999999523162842,-0.8134863713847345,1.536000622431732,1.8136468898222655,3.287531257705222,-0.10404812127974528,-0.09686019282755541,35.44304485103676,0.16,4.0,Quarterly,2025-12-01,0.12307692759135788,,0.06,0.12,92.0
NPCT,NPCT,Nuveen Core Plus Impact Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,10.579999923706055,-0.11230907341844087,10.412172659133557,10.387907933200884,10.575989136652387,0.08259698693488282,0.05106804751531524,92.68298923510639,1.302,12.0,Monthly,2026-02-13,0.12306238273997304,,,,
VGI,VGI,Virtus Global Multi,NYSE,NYSE,USD,7.880000114440918,-0.10327458006951618,7.890305112584931,7.863035877688346,7.836479499881242,0.022894786997117222,0.022267364036729537,58.82350466247705,0.96,12.0,Monthly,2026-02-12,0.12182740939821819,,,,
IFN,IFN,"India Fund, Inc. (The) Common Stock",NYSE,NYSE,USD,13.979999542236328,-0.1944113890261001,13.974631665382178,14.058788289927994,14.769055439753528,0.0460814572797954,0.01942758332402368,57.14283944944469,1.7,4.0,Quarterly,2025-11-21,0.12160229296603091,,,,
JRI,JRI,Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,13.239999771118164,-0.14307454238480055,13.1678902164809,13.343494066031537,13.331283335105303,-0.11796122130701647,-0.13431625955962465,39.68182870185631,1.597759,12.0,Monthly,2026-02-13,0.12067666371757525,,,,
HTGC,HTGC,"Hercules Capital, Inc. Common Stock",NYSE,NYSE,USD,15.579999923706055,-0.2918181852860884,17.40615001159271,17.97298883499894,18.546549437193875,-0.6228333818330896,-0.4167698482417904,18.16240012911281,1.88,4.0,Quarterly,2025-11-12,0.120667523055597,,0.36,0.39,9.34
EFC,EFC,Ellington Financial Inc. Common Stock ,NYSE,NYSE,USD,12.9399995803833,-0.19651571941001655,13.154727447929922,13.399235910077902,13.361545638342157,-0.21366819469384346,-0.20366279819219443,30.172409540690666,1.56,12.0,Monthly,2026-01-30,0.12055641812886293,,0.43,0.45,4.55
HGLB,HGLB,Highland Global Allocation Fund Common Stock,NYSE,NYSE,USD,8.739999771118164,-0.16826005950891243,8.818363417905482,9.01729614886362,8.964222536843321,-0.08333289252582432,-0.09460908179198739,47.47473482524138,1.053,12.0,Monthly,2026-01-23,0.12048055235421166,,,,
BSTZ,BSTZ,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,NYSE,NYSE,USD,22.75,-0.2591911456950502,22.70554513586998,22.586273131597693,21.80007531306556,0.060445486348154276,0.015887388835721977,52.78513340814322,2.702,12.0,Monthly,2026-02-13,0.11876923076923077,,,,
DSU,DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock",NYSE,NYSE,USD,10.050000190734863,-0.1538461402484591,10.15747050518145,10.210798115456278,10.364879861848705,-0.036422922696909055,-0.027003088655165746,31.249944120425695,1.1880000000000002,12.0,Monthly,2026-02-13,0.11820895298044096,,,,
TSQ,TSQ,"Townsquare Media, Inc. Class A Common Stock",NYSE,NYSE,USD,6.769999980926514,-0.5160220970022698,6.494229829847828,6.047590244929962,6.5024119546932555,0.3503683045941921,0.355202236872474,45.697328579109715,0.8,4.0,Quarterly,2026-01-26,0.11816839028860904,,0.57,0.13,-77.19
