_STATE,q05,q25,median,q75,q95,mean_bin,State,p_lowest,p_highest
18.0,1.0,2.6583652844567336,4.201021581614445,4.992812480786031,5.972462282526134,4.328087012558594,Indiana,0.06514902022736188,0.04440075994671026
48.0,1.0,2.432526040172625,4.224815429170283,5.219787346995297,6.3993175782490574,4.34103825746023,Texas,0.07902585709101499,0.08323866021291912
13.0,1.0,2.551377132126074,4.212842976673213,5.135583890784373,6.268983373622514,4.352259102175158,Georgia,0.06799138159427534,0.06839789711456
39.0,1.0,2.6578358270923,4.197426258040789,5.038067300869388,6.111531705125507,4.352936561960773,Ohio,0.06475863302872514,0.056276628314646956
23.0,1.0242566138248823,2.7208301061274676,4.1807442025073005,4.977780304226798,5.966097416283923,4.355484913100138,Maine,0.04746238813629787,0.043226114270660844
16.0,1.1183041589332834,2.747448841541525,4.158161912641554,4.9130762673235715,5.944784029395176,4.357341588542792,Idaho,0.040172646053709626,0.03999374545194139
26.0,1.0,2.701937254756733,4.220939968699167,5.003153273651514,6.028345823840173,4.3580597780564325,Michigan,0.06451599793608946,0.05145863747286109
30.0,1.0,2.7359662133003155,4.222111512280333,4.959131017283946,5.995396428417963,4.3619045567270325,Montana,0.059496370164926884,0.049139141625253104
31.0,1.0,2.8053428313986055,4.238201836729182,4.969422607362776,5.9818995331239435,4.38609822159755,Nebraska,0.060387381623252676,0.046505887960934335
32.0,1.0,2.677196915172659,4.223821211676132,5.021233067653318,6.274908260860442,4.391150087274719,Nevada,0.05238136746641587,0.06895679167346935
36.0,1.0,2.5220164232992968,4.260029677579628,5.252518617882025,6.460044670468602,4.397736951148682,New York,0.07280176485033088,0.0926002527716371
46.0,1.1901408967472245,2.8992232781297766,4.192644459896433,4.881765192876542,5.970937025109903,4.4087583506582195,South Dakota,0.035219111590036885,0.0452973403057743
29.0,1.0,2.8998722366153467,4.283037153723336,5.0878631651383275,6.174599108678843,4.41747931000919,Missouri,0.07902636071061914,0.06057662467503381
41.0,1.0,2.743754016767493,4.262407984741321,5.136247353866195,6.179646977239078,4.422597526956574,Oregon,0.057815065188108306,0.06094937010376778
17.0,1.0,2.57321258802164,4.31699640919883,5.221463911716813,6.419291209725609,4.422980794539577,Illinois,0.07171243761864601,0.08610167580961625
56.0,1.1081098772683788,2.965694981325628,4.262295328185146,4.955369565996434,5.93436268343713,4.440819274941521,Wyoming,0.04027258348892168,0.03708126222601901
44.0,1.0,2.6765163281293036,4.3439809127483215,5.21065751226325,6.268891788885883,4.447358035145669,Rhode Island,0.0637618685688658,0.06838932902122156
19.0,1.0340385013129425,2.9749605286490954,4.286214242898389,5.0301325911845876,6.015222789081703,4.472475846845054,Iowa,0.04710639981410716,0.05077290522734109
20.0,1.0,3.008563288299228,4.304223459230851,5.048449807455579,5.995852842115596,4.48128931342362,Kansas,0.05112068628255061,0.04912452087808821
10.0,1.0779999424344064,2.968962721956175,4.3169142492009875,5.066384009759012,6.118716516263468,4.502097126699098,Delaware,0.04314447132354221,0.05673543294832467
42.0,1.081188777065895,2.947644410524595,4.305799409947664,5.106395765959936,6.262690492804177,4.503590336606987,Pennsylvania,0.04221635412040938,0.06781412624145161
55.0,1.0,3.031735335408005,4.324223361313702,5.088095367578505,6.102941940206187,4.50916780070351,Wisconsin,0.05021240086215478,0.055737752371894975
6.0,1.0,2.664621982649017,4.370734858831577,5.438709453889611,6.591305027572846,4.526414641631735,California,0.07416407226297367,0.12234062901009152
50.0,1.0,3.06093902005682,4.375913393751762,5.184530285465333,6.070861147661664,4.535704568690777,Vermont,0.058135968740148265,0.053813270077089685
38.0,1.072840723112474,3.146000241391844,4.368945795173711,5.096048926475832,6.051491687298905,4.562887776942682,North Dakota,0.04449693230105569,0.052714350871226015
15.0,1.0,3.112482800114028,4.429552318732383,5.257868993730531,6.265758158494674,4.594568299905152,Hawaii,0.05372433008543116,0.0680974539635213
2.0,1.0,3.202554728209751,4.448466732492779,5.243937617570669,6.224823679080698,4.627034731993939,Alaska,0.051086855454541585,0.06450145425069714
