Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/08  19:00:00,1177.893999,101.9043206,459.2567536,0,166.9389264,191.6136585,204.8429697,139.5215115,56.64669961,8.674758632
 06/08  20:00:00,1058.128204,101.3926181,476.7511974,0,100.1506573,124.5586935,264.7669611,199.4449822,56.64669961,8.675279304
 06/08  21:00:00,1028.903555,101.2756965,483.9737566,0,100.1506573,124.5586935,271.877317,220.7286438,42.48502471,8.663648457
 06/08  22:00:00,968.6561606,101.2473718,486.8745036,0,46.09303362,124.5586935,282.5874133,245.6025678,28.3233498,8.661495692
 06/08  23:00:00,968.7765064,101.2470396,488.4974065,0,46.09303362,124.5586935,281.7014869,258.8775505,14.1616749,8.662261515
 06/08  00:00:00,951.7692584,101.2470396,494.2332744,0,46.09303362,113.3127805,289.0114773,274.6852354,5.664669961,8.661571879
 06/09  01:00:00,937.4180956,101.2470396,500.7545068,0,46.09303362,113.3127805,294.879492,289.194822,5.664669961,0.02
 06/09  02:00:00,927.4674626,101.2470396,506.2863801,0,46.09303362,113.3127805,315.9215786,301.5948356,5.664669961,8.662072954
 06/09  03:00:00,930.9442156,101.2470396,511.4805041,0,46.09303362,113.3127805,328.5996894,314.2737036,5.664669961,8.661315837
 06/09  04:00:00,1037.471399,101.2470396,516.24915,0,100.1506573,148.9693994,322.8189018,308.4921889,5.664669961,8.662042941
 06/09  05:00:00,1033.771469,112.2558933,499.4139628,0,100.1506573,149.8943994,412.2560291,389.4330339,14.1616749,8.661320357
 06/09  06:00:00,1237.618613,118.3765268,494.0110631,0,176.4710373,302.6124365,330.3788341,293.3934253,28.3233498,8.662058935
 06/09  07:00:00,1341.404238,124.1287825,486.560024,0,243.2593065,310.1097119,317.4848045,266.2953418,42.48502471,8.704437954
 06/09  08:00:00,1373.122349,125.1807595,480.2619795,0,243.2593065,310.1097119,324.366047,250.28265,56.64669961,17.43669731
 06/09  09:00:00,1401.013004,126.0805409,475.0962078,0,243.2593065,302.6124365,299.0879716,239.1322091,42.48502471,17.47073776
 06/09  10:00:00,1404.198118,127.245348,468.9476101,0,243.2593065,310.1097119,324.969832,227.8834294,70.80837451,26.27802807
 06/09  11:00:00,1405.39424,128.80537,462.6095854,0,243.2593065,310.1097119,303.9413621,215.5913517,70.80837451,17.54163584
 06/09  12:00:00,1366.203104,130.5432439,456.8423249,0,243.2593065,310.1097119,293.9488906,205.6470736,70.80837451,17.49344254
 06/09  13:00:00,1390.502406,132.7113719,447.8726394,0,243.2593065,302.6124365,272.7687352,189.8171365,56.64669961,26.30489908
 06/09  14:00:00,1413.568446,135.6434036,444.4360781,0,243.2593065,302.6124365,213.8288778,153.8213766,42.48502471,17.52247641
 06/09  15:00:00,1426.488539,139.4607425,444.0084102,0,243.2593065,302.6124365,193.6244806,110.7258396,56.64669961,26.25194145
 06/09  16:00:00,1440.588639,145.8256254,444.8855017,0,243.2593065,310.1097119,187.2146067,84.78831871,84.97004941,17.45623861
 06/09  17:00:00,1471.928712,162.7715757,450.4777146,0,243.2593065,310.1097119,147.2883518,53.62829165,84.97004941,8.690010734
 06/09  18:00:00,1157.442855,101.5942344,443.7038673,0,166.9389264,199.1109338,153.17582,59.53071945,84.97004941,8.67505118
 06/09  19:00:00,1166.887742,101.9798849,438.8515498,0,166.9389264,191.6136585,151.4944803,86.173911,56.64669961,8.673869645
 06/09  20:00:00,1051.032541,101.4899246,438.2563852,0,100.1506573,124.5586935,236.726748,171.4058388,56.64669961,8.674209621
 06/09  21:00:00,1046.05545,101.3208999,457.0370868,0,100.1506573,124.5586935,259.3538243,208.2059222,42.48502471,8.662877352
 06/09  22:00:00,996.1106663,101.2653803,473.8077755,0,46.09303362,124.5586935,271.7039285,234.718371,28.3233498,8.662207709
 06/09  23:00:00,990.5900946,101.247211,483.6012275,0,46.09303362,124.5586935,276.6988508,253.8757028,14.1616749,8.66147313
 06/09  00:00:00,979.2189975,101.2470396,494.2694624,0,46.09303362,113.3127805,287.581373,273.2544762,5.664669961,8.662226789
 06/10  01:00:00,984.2061202,101.2470396,496.2302932,0,46.09303362,113.3127805,301.8777089,287.5517922,5.664669961,8.66124681
 06/10  02:00:00,977.3496883,101.2470396,495.43515,0,46.09303362,113.3127805,304.9826968,299.2980268,5.664669961,0.02
 06/10  03:00:00,965.829381,101.2470396,499.5421236,0,46.09303362,113.3127805,326.695063,312.3684807,5.664669961,8.661912378
 06/10  04:00:00,950.6678425,101.2470396,510.4275973,0,55.62514452,113.3127805,329.6031057,315.2772961,5.664669961,8.661139725
 06/10  05:00:00,946.9783248,101.2470396,518.4780226,0,55.62514452,113.3127805,348.9753765,326.151853,14.1616749,8.661848605
